run_id,strategy,seq_len,num_peers,replication,churn_rate,seed,token_block,layer_group_size,layer_block_size,decode_steps,chunks_per_step,decode_step_latency_ms_p50,decode_step_latency_ms_p95,decode_step_latency_ms_p99,chunk_get_latency_ms_p95,chunk_success_rate,decode_step_success_rate,timeout_rate,avg_hops_per_chunk,bytes_transferred_total,useful_bytes_total,bytes_overhead_ratio,storage_amplification,peer_utilization_p50,peer_utilization_p95,eviction_events_count,recovery_repair_events_count
run_00000,token_layer_group,128,32,1,0.0,0,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.8864,28835840,28835840,1.0,1.0,327680.0,524288.0,0,0
run_00001,token_layer_group,128,32,1,0.0,1,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.8545,28835840,28835840,1.0,1.0,262144.0,655360.0,0,0
run_00002,token_layer_group,128,32,1,0.0,2,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0864,28835840,28835840,1.0,1.0,262144.0,550502.4,0,0
run_00003,token_layer_group,128,32,1,0.0,3,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1182,28835840,28835840,1.0,1.0,262144.0,714342.4,0,0
run_00004,token_layer_group,128,32,1,0.0,4,32,2,,5,44,4.45,4.45,5.45,3.0,1.0,1.0,0.0,2.4727,28835840,28835840,1.0,1.0,262144.0,530841.6,0,0
run_00005,token_layer_group,128,32,1,0.0,5,32,2,,5,44,4.45,5.45,5.45,4.0,1.0,1.0,0.0,2.3318,28835840,28835840,1.0,1.0,262144,616038.4,0,0
run_00006,token_layer_group,128,32,1,0.0,6,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.2591,28835840,28835840,1.0,1.0,262144.0,537395.2,0,0
run_00007,token_layer_group,128,32,1,0.0,7,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.25,28835840,28835840,1.0,1.0,131072.0,675020.8,0,0
run_00008,token_layer_group,128,32,1,0.0,8,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,1.9136,28835840,28835840,1.0,1.0,262144,812646.4,0,0
run_00009,token_layer_group,128,32,1,0.0,9,32,2,,5,44,4.45,4.45,5.45,3.0,1.0,1.0,0.0,2.2909,28835840,28835840,1.0,1.0,262144,524288,0,0
run_00010,token_layer_group,128,32,1,0.0,10,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1818,28835840,28835840,1.0,1.0,262144,524288,0,0
run_00011,token_layer_group,128,32,1,0.0,11,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,1.9318,28835840,28835840,1.0,1.0,131072.0,642252.8,0,0
run_00012,token_layer_group,128,32,1,0.0,12,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.2045,28835840,28835840,1.0,1.0,262144.0,550502.4,0,0
run_00013,token_layer_group,128,32,1,0.0,13,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.0273,28835840,28835840,1.0,1.0,262144.0,517734.4,0,0
run_00014,token_layer_group,128,32,1,0.0,14,32,2,,5,44,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.2182,28835840,28835840,1.0,1.0,131072,524288.0,0,0
run_00015,token_layer_group,128,32,1,0.0,15,32,2,,5,44,3.45,4.45,4.45,3.0,1.0,1.0,0.0,2.0545,28835840,28835840,1.0,1.0,262144.0,393216.0,0,0
