seq_len,layer_index,key_shape,value_shape,key_dtype,value_dtype,key_device,value_device,bytes_key,bytes_value,total_layer_bytes
8,0,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,1,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,2,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,3,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,4,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,5,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,6,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,7,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,8,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,9,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,10,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,11,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,12,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,13,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,14,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,15,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,16,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,17,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,18,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,19,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,20,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
8,21,"(1, 4, 8, 64)","(1, 4, 8, 64)",torch.float32,torch.float32,cpu,cpu,8192,8192,16384
32,0,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,1,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,2,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,3,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,4,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,5,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,6,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,7,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,8,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,9,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,10,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,11,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,12,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,13,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,14,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,15,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,16,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,17,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,18,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,19,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,20,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
32,21,"(1, 4, 32, 64)","(1, 4, 32, 64)",torch.float32,torch.float32,cpu,cpu,32768,32768,65536
128,0,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,1,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,2,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,3,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,4,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,5,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,6,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,7,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,8,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,9,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,10,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,11,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,12,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,13,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,14,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,15,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,16,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,17,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,18,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,19,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,20,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
128,21,"(1, 4, 128, 64)","(1, 4, 128, 64)",torch.float32,torch.float32,cpu,cpu,131072,131072,262144
512,0,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
512,1,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
512,2,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
512,3,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
512,4,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
512,5,"(1, 4, 512, 64)","(1, 4, 512, 64)",torch.float32,torch.float32,cpu,cpu,524288,524288,1048576
