run_id,strategy,seq_len,num_peers,replication,churn_rate,seed,token_block,layer_group_size,layer_block_size,decode_steps,chunks_per_step,decode_step_latency_ms_p50,decode_step_latency_ms_p95,decode_step_latency_ms_p99,chunk_get_latency_ms_p95,chunk_success_rate,decode_step_success_rate,timeout_rate,avg_hops_per_chunk,bytes_transferred_total,useful_bytes_total,bytes_overhead_ratio,storage_amplification,peer_utilization_p50,peer_utilization_p95,eviction_events_count,recovery_repair_events_count
run_00000,token_layer_group,512,64,2,0.0,0,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.3045,115343360,115343360,1.0,2.0,655360.0,1441792.0,0,0
run_00001,token_layer_group,512,64,2,0.0,1,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.4148,115343360,115343360,1.0,2.0,589824.0,2097152.0,0,0
run_00002,token_layer_group,512,64,2,0.05,0,32,2,,5,176,3.45,4.45,5.45,3.0,1.0,1.0,0.0,2.1716,115343360,115343360,1.0,2.0,720896.0,2077491.2,0,74
run_00003,token_layer_group,512,64,2,0.05,1,32,2,,5,176,3.45,5.45,5.45,4.0,1.0,1.0,0.0,2.2886,115343360,115343360,1.0,2.0,786432,2097152.0,0,41
run_00004,token_layer_group,512,64,2,0.0,0,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3646,115343360,115343360,1.0,2.0,655360.0,1835008.0,0,0
run_00005,token_layer_group,512,64,2,0.0,1,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3896,115343360,115343360,1.0,2.0,524288,2110259.2,0,0
run_00006,token_layer_group,512,64,2,0.05,0,32,4,,5,96,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4604,115343360,115343360,1.0,2.0,786432,1966080.0,0,36
run_00007,token_layer_group,512,64,2,0.05,1,32,4,,5,96,4.7,5.7,5.7,3.0,1.0,1.0,0.0,2.0812,115343360,115343360,1.0,2.0,786432,2254438.4,0,43
run_00008,token_layer_group,512,64,2,0.0,0,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.3659,115343360,115343360,1.0,2.0,786432,1730150.4,0,0
run_00009,token_layer_group,512,64,2,0.0,1,64,2,,5,88,4.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4568,115343360,115343360,1.0,2.0,786432,2202009.6,0,0
run_00010,token_layer_group,512,64,2,0.05,0,64,2,,5,88,5.7,6.7,6.7,4.0,1.0,1.0,0.0,2.4341,115343360,115343360,1.0,2.0,786432.0,2162688.0,0,41
run_00011,token_layer_group,512,64,2,0.05,1,64,2,,5,88,4.7,5.7,5.7,3.0,1.0,1.0,0.0,2.2909,115343360,115343360,1.0,2.0,786432,2359296.0,0,38
