seq_len,layer_index,key_shape,value_shape,key_dtype,value_dtype,key_device,value_device,bytes_key,bytes_value,total_layer_bytes
8,0,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,1,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,2,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,3,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,4,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,5,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,6,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,7,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,8,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,9,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,10,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
8,11,"(1, 12, 8, 64)","(1, 12, 8, 64)",torch.float32,torch.float32,cpu,cpu,24576,24576,49152
32,0,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,1,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,2,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,3,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,4,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,5,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,6,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
32,7,"(1, 12, 32, 64)","(1, 12, 32, 64)",torch.float32,torch.float32,cpu,cpu,98304,98304,196608
